Flight_ID,Predicted_Delay_Prob,Actual_Delay
418620,0.9998838,1
439577,0.999912,1
89913,0.9998605,1
398891,0.9997731,1
244283,0.99996805,1
461487,0.9999701,1
348076,0.9999691,1
281084,0.9999237,1
306708,0.9999151,1
47796,0.9997048,1
460576,0.9995586,1
302608,0.99984276,1
52819,0.9999181,1
13926,0.9999708,1
170144,0.9998399,1
367940,0.9976205,1
292602,0.99943703,1
327066,0.9999604,1
300522,0.99995756,1
461481,0.9629332,1
210587,0.99982905,1
362289,0.99997735,1
249392,0.9997595,1
467473,0.99997497,1
1567,0.99997485,1
252787,0.99989426,1
386076,0.99990845,1
206084,0.9997433,1
388821,0.99989676,1
97230,0.9999105,1
191075,0.99962497,1
368948,0.9997551,1
138885,0.99992704,1
80836,0.99989617,1
337453,0.9997421,1
320205,0.999511,1
218261,0.999923,1
120964,0.9998561,1
467178,0.9998504,1
208569,0.9992224,1
240896,0.9997788,1
425782,0.9998858,1
132698,0.9999056,1
239639,0.9994979,1
21538,0.99995744,1
140082,0.999933,1
49589,0.9999248,1
466102,0.99965596,1
391178,0.999859,1
214421,0.99989676,1
466793,0.9992613,1
495286,0.99965405,1
54861,0.9996408,1
271871,0.9987388,1
135563,0.997224,1
108584,0.99994504,1
439116,0.9997222,1
245420,0.9999404,1
108726,0.999632,1
264224,0.999969,1
176114,0.99974066,1
139813,0.9999049,1
18045,0.9995994,1
296732,0.99994314,1
493137,0.9998889,1
493946,0.9998976,1
304721,0.99904126,1
333188,0.99898666,1
139652,0.9986254,1
310677,0.99974245,1
466298,0.9997389,1
206874,0.9999399,1
180920,0.99967647,1
285863,0.9996445,1
372569,0.9988257,1
174222,0.99976057,1
107111,0.9999709,1
104390,0.99978036,1
27931,0.9993554,1
199162,0.9990452,1
51238,0.99993956,1
108651,0.99991286,1
350195,0.9999392,1
425049,0.99989855,1
32120,0.9999759,1
368838,0.9999331,1
77054,0.99995387,1
253295,0.99877614,1
165693,0.9997743,1
294684,0.999833,1
389034,0.99975735,1
483504,0.97958755,1
46385,0.9997664,1
75902,0.99993587,1
18749,0.99974054,1
418098,0.9999001,1
140130,0.9999151,1
22326,0.99950576,1
390603,0.9999329,1
23913,0.9998293,1
295065,0.9995592,1
51688,0.99992824,1
421401,0.9998853,1
446601,0.99990606,1
414301,0.9999434,1
203539,0.99931586,1
251094,0.99996555,1
456080,0.9536795,1
406365,0.9993529,1
330968,0.99994445,1
63218,0.9998746,1
194797,0.9999739,1
57755,0.9999517,1
91848,0.99993217,1
276327,0.99995625,1
473489,0.9998454,1
152176,0.99961615,1
88709,0.9997967,1
387330,0.9999093,1
58122,0.99981326,1
277559,0.9999591,1
209043,0.9999229,1
215160,0.9999461,1
355584,0.9998029,1
403976,0.9999192,1
410811,0.9999275,1
361584,0.9998964,1
13770,0.999949,1
31013,0.99989295,1
15522,0.99991524,1
480708,0.9998431,1
467451,0.9998172,1
212210,0.9678522,1
448046,0.9947713,1
337680,0.9998536,1
256814,0.99947494,1
278861,0.9999658,1
103,0.9983398,1
387245,0.9999522,1
111731,0.9998965,1
223743,0.99993515,1
459213,0.9997619,1
146640,0.99995315,1
493696,0.99977905,1
17252,0.99991035,1
240441,0.9996443,1
421984,0.9988701,1
121619,0.99992025,1
455871,0.9999763,1
65450,0.99964833,1
176751,0.99993265,1
288727,0.99987864,1
259370,0.99987614,1
426209,0.99997365,1
182214,0.99633324,1
47538,0.99985397,1
190134,0.9999709,1
110576,0.9998023,1
275777,0.9996468,1
499048,0.9998386,1
140707,0.99993443,1
